key,english
ZT_WindowsGlassDoors,"Glass Door & Window Variants [e38d23](UBBI)"
ZT_WindowsGlassDoorsDesc,"Windows and glass doors for the zombie apocalypse!"


ZT_Sink,"Kitchen Sink [e38d23](UBBI)"
ZT_SinkWhiteWood,"Kitchen Sink [e38d23](UBBI)"
ZT_SinkClearWood,"Kitchen Sink [e38d23](UBBI)"
ZT_SinkDarkWood,"Kitchen Sink [e38d23](UBBI)"

ZT_Cabinet1,"Cabinet Storage [e38d23](UBBI)"
ZT_Cabinet2,"Cabinet Storage [e38d23](UBBI)"
ZT_Cabinet3,"Cabinet Storage [e38d23](UBBI)"
ZT_Cabinet6,"Cabinet Storage [e38d23](UBBI)"
ZT_Cabinet7,"Cabinet Storage [e38d23](UBBI)"
ZT_Cabinet8,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetRoundCornerWhiteWood,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetFillerWhiteWood,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetWhiteWood1,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetWhiteWood2,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetWhiteWood3,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetWhiteWood4,"Cabinet Storage [e38d23](UBBI)"
ZT_CupboardCornerWhiteWood,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardLargeWhiteWood,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardWhiteWood1,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardWhiteWood2,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardWhiteWood3,"Shelf Storage [e38d23](UBBI)"
ZT_CupboardWhiteWood4,"Cupboard Storage [e38d23](UBBI)"
ZT_CabinetClearWood1,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetClearWood2,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetClearWood3,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetClearWood4,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetRoundCornerClearWood,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetFillerClearWood,"Cabinet Storage [e38d23](UBBI)"
ZT_CupboardClearWood1,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardClearWood2,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardClearWood3,"Shelf Storage [e38d23](UBBI)"
ZT_CupboardClearWood4,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardCornerClearWood,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardLargeClearWood,"Cupboard Storage [e38d23](UBBI)"
ZT_CabinetDarkWood1,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetDarkWood2,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetDarkWood3,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetDarkWood4,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetRoundCornerDarkWood,"Cabinet Storage [e38d23](UBBI)"
ZT_CabinetFillerDarkWood,"Cabinet Storage [e38d23](UBBI)"
ZT_CupboardDarkWood1,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardDarkWood2,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardDarkWood3,"Shelf Storage [e38d23](UBBI)"
ZT_CupboardDarkWood4,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardCornerDarkWood,"Cupboard Storage [e38d23](UBBI)"
ZT_CupboardLargeDarkWood,"Cupboard Storage [e38d23](UBBI)"


Sonja_UBBI_FloorWhiteWood,"White Wood Flooring [e38d23](UBBI)"
Sonja_UBBI_FloorTanWood,"Tan Wood Flooring [e38d23](UBBI)"
Sonja_UBBI_FloorDarkWood,"Dark Wood Flooring [e38d23](UBBI)"


ZT_Fridge,"Fridge Storage [e38d23](UBBI)"
ZT_Stove,"Gas Stove [e38d23](UBBI)"
ZT_Oven,"Wall Oven [e38d23](UBBI)"
ZT_StoveTop,"Oven Cooktop [e38d23](UBBI)"
ZT_CookerTop,"Cooker Top [e38d23](UBBI)"
ZT_CookerTopChimney,"Cooker Top Chimney [e38d23](UBBI)"
ZT_Toaster,"Toaster [e38d23](UBBI)"
toasterDesc,"Unlike a campfire and other kitchen appliances, you can only make toasted foods at the toaster.\nYou must still place wood or burnable objects in the fuel slots to use it.\nAdd a cooking pot if you want to cook the Tuna Fish Gravy Toast.\nHold E to pick up Workstations within your land claim area.\n\nRepair with Forged Iron."
ZT_CoffeeMaker,"Coffee Maker [e38d23](UBBI)"
coffeeMakerDesc,"Unlike a campfire and the other kitchen appliances, you can only brew, cook and heat up beverages at the Coffee Maker.\nYou must still place wood or burnable objects in the fuel slots to use it.\nAdd a cooking pot for more recipe options.\nHold E to pick up Workstations within your land claim area."\n\nRepair with Forged Iron."
ZT_Microwave,"Microwave [e38d23](UBBI)"
microwaveDesc,"Similar to a campfire, you will be able to cook food, purify water and make various beverages with microwaves, stoves and ovens.\nYou must still place wood or burnable objects in the fuel slots to use it\nAdd a cooking pot and grill for more recipe options.\nHold E to pick up Workstations within your land claim area."\n\nRepair with Forged Iron."


ZT_DecorJars,"Decorative Jars [e38d23](UBBI)"
ZT_DecorationSpheres,"Decoration Spheres [e38d23](UBBI)"
ZT_SushiDinner,"Sushi Dinner [e38d23](UBBI)"
ZT_Newspaper,"The Nazgane Paper [e38d23](UBBI)"
ZT_ToyTeddyBear,"Teddy Bear [e38d23](UBBI)"

ZT_Painting1,"Wider Abstract [e38d23](UBBI)"
widerAbstractDesc,"Decorate your home with unique styles designed by Hernan. Introducing a depiction of the abstract, spice up your location with this wider art."

ZT_Painting2,"Wider Rustic [e38d23](UBBI)"
rusticDesc,"Decorate your home with unique styles designed by the zombie creators. Introducing a depiction of space, get a glimpse of what's in the wider sky."

ZT_Painting3,"Wider Space [e38d23](UBBI)"
widerSpaceDesc,"Decorate your home with unique styles designed by Hernan. Introducing a depiction of space, get a glimpse of what's in the wider sky."

ZT_Painting4,"Wider Modern Abstract [e38d23](UBBI)"
modernAbstractDesc,"Decorate your home with unique styles designed by Hernan. A modern wider abstract depiction of a bustling city before the apocalypse."

ZT_Painting5,"City Skylines [e38d23](UBBI)"
citySkylinesDesc,"Decorate your home with unique styles designed by Hernan. A depiction of the sky between city skylines."

ZT_Painting6,"City Towers [e38d23](UBBI)"
cityTowersDesc,"Decorate your home with unique styles designed by Hernan. A depiction of city towers."

ZT_Painting7,"Barbenheimer [e38d23](UBBI)"
barbenheimerPaintingDesc,"Designed by the talented artist Sean Longmore, this painting represents the phenomenon of the double release of Christopher Nolan's film Oppenheimer and Greta Gerwig's Barbie."

Sonja_Painting08,"Degas - Ballet Rehearsals [e38d23](UBBI)"
Sonja_Painting09,"Monet - The Magpie [e38d23](UBBI)"
Sonja_Painting10,"Monet - San Giorgio Maggiore at Dusk [e38d23](UBBI)"
Sonja_Painting11,"Monet - Water Lilies [e38d23](UBBI)"
Sonja_Painting12,"Renoir - Luncheon of the Boating Party [e38d23](UBBI)"
Sonja_Painting13,"Renoir - Two Sisters on the Terrace [e38d23](UBBI)"
SonjaPaintingsDesc,"Decorate your home with some of my favorite Classic Paintings."

ZT_Vent,"Vent [e38d23](UBBI)"
ZT_MetalLadder,"Metal Ladder [e38d23](UBBI)"
ZT_TrashCan,"Trash Can [e38d23](UBBI)"
ZT_PalmPlantPot,"Palm Plant [e38d23](UBBI)"
ZT_DecorPlant,"Decorative Plant [e38d23](UBBI)"
ZT_Chimney,"Chimney [e38d23](UBBI)"


ZT_LargeTable,"Table [e38d23](UBBI)"
ZT_CoffeeTableAX1,"Coffee Table [e38d23](UBBI)"
ZT_CoffeeTableAX2,"Coffee Table [e38d23](UBBI)"
ZT_CoffeeTableX1,"Coffee Table [e38d23](UBBI)"
ZT_CoffeeTableX2,"Coffee Table [e38d23](UBBI)"
ZT_DarkWoodMediumTable,"Table [e38d23](UBBI)"
ZT_GlassDesk,"Glass Desk [e38d23](UBBI)"
ZT_GlassMetalTable1x1,"Metal Table [e38d23](UBBI)"
ZT_GlassMetalTable2x1,"Metal Table [e38d23](UBBI)"
ZT_GlassMetalTable2x2,"Metal Table [e38d23](UBBI)"
ZT_GlassMetalCoffeeTable,"Metal Coffee Table [e38d23](UBBI)"
ZT_ChairMetal,"Metal Chair [e38d23](UBBI)"
ZT_ElegantChair1,"Leather Chair [e38d23](UBBI)"
ZT_ModernChair,"Metal Chair [e38d23](UBBI)"
ZT_PCChairBlack,"Computer Chair [e38d23](UBBI)"
ZT_PCChairBrown,"Computer Chair [e38d23](UBBI)"
ZT_PCChairWhite,"Computer Chair [e38d23](UBBI)"


ZT_SofaCornerWhite,"Sofa [e38d23](UBBI)"
ZT_SofaWhite,"Sofa [e38d23](UBBI)"
ZT_SofaArmLeftWhite,"Sofa [e38d23](UBBI)"
ZT_SofaArmRightWhite,"Sofa [e38d23](UBBI)"
ZT_SofaArmWhite,"Sofa [e38d23](UBBI)"
ZT_SofaCornerGray,"Sofa [e38d23](UBBI)"
ZT_SofaGray,"Sofa [e38d23](UBBI)"
ZT_SofaArmLeftGray,"Sofa [e38d23](UBBI)"
ZT_SofaArmRightGray,"Sofa [e38d23](UBBI)"
ZT_SofaArmGray,"Sofa [e38d23](UBBI)"
ZT_SofaCornerBlack,"Sofa [e38d23](UBBI)"
ZT_SofaBlack,"Sofa [e38d23](UBBI)"
ZT_SofaArmLeftBlack,"Sofa [e38d23](UBBI)"
ZT_SofaArmRightBlack,"Sofa [e38d23](UBBI)"
ZT_SofaArmBlack,"Sofa [e38d23](UBBI)"
ZT_SofaCornerBrown,"Sofa [e38d23](UBBI)"
ZT_SofaBrown,"Sofa [e38d23](UBBI)"
ZT_SofaArmLeftBrown,"Sofa [e38d23](UBBI)"
ZT_SofaArmRightBrown,"Sofa [e38d23](UBBI)"
ZT_SofaArmBrown,"Sofa [e38d23](UBBI)"
ZT_Puff,"Cushion [e38d23](UBBI)"


SonjaBigBed_01,"Large Bed [e38d23](UBBI)"
SonjaBigBed_02,"Large Bed [e38d23](UBBI)"
SonjaBigBed_03,"Large Bed [e38d23](UBBI)"
SonjaBigBed_04,"Large Bed [e38d23](UBBI)"
SonjaBed_01,"Small Bed [e38d23](UBBI)"
SonjaBed_02,"Small Bed [e38d23](UBBI)"
SonjaBed_03,"Small Bed [e38d23](UBBI)"
SonjaBed_04,"Small Bed [e38d23](UBBI)"
ZT_BedroomMirror,"Bedroom Mirror [e38d23](UBBI)"
ZT_NightStand,"Night Stand Storage [e38d23](UBBI)"
ZT_Nighttable,"Nighttable [e38d23](UBBI)"
ZT_Rack1,"Shelf Storage [e38d23](UBBI)"
ZT_Rack2,"Shelf Storage [e38d23](UBBI)"
ZT_Rack3,"Shelf Storage [e38d23](UBBI)"
ZT_Rack4,"Shelf Storage [e38d23](UBBI)"
ZT_Rack5,"Shelf Storage [e38d23](UBBI)"
ZT_Rack6,"Shelf Storage [e38d23](UBBI)"
ZT_Rack7,"Shelf Storage [e38d23](UBBI)"
ZT_Rack8,"Shelf Storage [e38d23](UBBI)"
ZT_RackModular1,"Shelf Storage [e38d23](UBBI)"
ZT_RackModular2,"Shelf Storage [e38d23](UBBI)"
ZT_ModernFireplace,"Modern Fireplace [e38d23](UBBI)"


ZT_LargeTV,"Large TV Set [e38d23](UBBI)"
ZT_SmallTV,"Small TV Set [e38d23](UBBI)"
ZT_LargeMountedTV,"Mounted TV [e38d23](UBBI)"
ZT_SmallMountedTV,"Mounted TV [e38d23](UBBI)"
ZT_SoundBar,"Sound Bar [e38d23](UBBI)"
ZT_DoorBell,"Doorbell (Left) [e38d23](UBBI)"
ZT_DoorBellLeft,"Doorbell (Right) [e38d23](UBBI)"
ZT_OfficeDesktop,"Desktop PC [e38d23](UBBI)"
ZT_Laptop,"Laptop [e38d23](UBBI)"
ZT_FerrisWheel,"Ferris Wheel [e38d23](UBBI)"
ZT_Arcade,"Arcade [e38d23](UBBI)"
ZT_ArcadeDruggieMon,"Druggiemon Arcade [e38d23](UBBI)"
arcadeDruggieMonDesc,"Druggiemon is a work in-progress monster taming game being developed by Yuméplay Studios. Become immersed in a unique take on the genre with colorful creatures, dizzying visual effects, parodying characters and more."
ZT_ArcadeDespotsGame,"Despot's Game Arcade [e38d23](UBBI)"
arcadeDespotsGameDesc,"Brought to you by game developer Konfa Games and publisher tinyBuild, Despot's Game is a procedural auto battler that'll get your mutagen strategy pumping as you fight enemies and other players!"
ZT_GamingConsole,"Gaming Console [e38d23](UBBI)"
ZT_Handheld,"Dokimon Handheld [e38d23](UBBI)"
dokimonGameDesc,"Designed by one of Monster Tamers most talented graphic designers and coders Yanako, comes the handheld version of Dokimon!"
ZT_PinballMachine,"Pinball Machine [e38d23](UBBI)"


ZT_CeilingLights,"Ceiling Lights [e38d23](UBBI)"
ZT_CeilingLampMetalTop,"Ceiling Lamp Extender [e38d23](UBBI)"
ZT_CeilingLamp,"Ceiling Lamp [e38d23](UBBI)"
ZT_Lamp,"Floor Lamp [e38d23](UBBI)"
ZT_LampSmall,"Small Lamp [e38d23](UBBI)"
ZT_NightTableLamp,"Nighttable Lamp [e38d23](UBBI)"
ZT_NightTableBackLamp,"Nighttable Back Lamp [e38d23](UBBI)"
ZT_HangingLight,"Hanging Light [e38d23](UBBI)"
ZT_BathroomSinkLight,"Small Bathroom Sink [e38d23](UBBI)"
ZT_BathroomCabinetLight,"Bathroom Shelf Storage [e38d23](UBBI)"
ZT_SwimmingPoolBlock,"Swimming Pool Block [e38d23](UBBI)"
ZT_PoolLight,"Swimming Pool Light [e38d23](UBBI)"
ZT_PoolLightStairs01,"Pool Stairs Light [e38d23](UBBI)"
ZT_PoolLightStairs02,"Pool Stairs Light [e38d23](UBBI)"


ZT_BathroomBathtub,"Bathtub [e38d23](UBBI)"
ZT_BathroomBathtubWhite,"Bathtub [e38d23](UBBI)"
ZT_BathroomAccessories,"Toiletries [e38d23](UBBI)"
ZT_BathroomCabinet1,"Cabinet [e38d23](UBBI)"
ZT_BathroomCabinet2,"Shelf [e38d23](UBBI)"
ZT_BathroomCabinet3,"Cabinet [e38d23](UBBI)"
ZT_BathroomSink2,"Bathroom Sink [e38d23](UBBI)"
ZT_BathroomShower,"Shower [e38d23](UBBI)"
ZT_BathroomTowel,"Towel [e38d23](UBBI)"
ZT_BathroomToiletPaper,"Toilet Paper (Left) [e38d23](UBBI)"
ZT_BathroomToiletPaperRight,"Toilet Paper (Right) [e38d23](UBBI)"
ZT_Toilet,"Toilet [e38d23](UBBI)"


ZT_GardenBed,"Garden Bed [e38d23](UBBI)"
ZT_GardenChair,"Garden Chair [e38d23](UBBI)"
ZT_GardenTableRound,"Round Garden Table [e38d23](UBBI)"
ZT_GardenTableSquare,"Square Garden Table [e38d23](UBBI)"
ZT_GardenTable,"Garden Table [e38d23](UBBI)"
ZT_UmbrellaBlue,"Blue Umbrella [e38d23](UBBI)"
ZT_UmbrellaGreen,"Green Umbrella [e38d23](UBBI)"
ZT_UmbrellaRed,"Red Umbrella [e38d23](UBBI)"
ZT_UmbrellaYellow,"Yellow Umbrella [e38d23](UBBI)"
ZT_UmbrellaWhiteRed,"Red and White Umbrella [e38d23](UBBI)"
ZT_UmbrellaStand,"Umbrella Stand [e38d23](UBBI)"
ZT_Vines1,"Flat Vines [e38d23](UBBI)"
ZT_Vines2,"Flat Vines [e38d23](UBBI)"
ZT_Vines3,"Wall Vines [e38d23](UBBI)"
ZT_Vines4,"Wall Vines [e38d23](UBBI)"
ZT_Bush,"Bush [e38d23](UBBI)"


ZT_WoodDoubleDoorBrown,"Brown Double Doors [e38d23](UBBI)"
ZT_WoodDoorBrown,"Brown Wooden Door [e38d23](UBBI)"
ZT_WoodDoubleDoorGray,"Gray Double Doors [e38d23](UBBI)"
ZT_WoodDoorGray,"Gray Wooden Door [e38d23](UBBI)"
ZT_WoodDoubleDoorClear,"Clear Double Doors [e38d23](UBBI)"
ZT_WoodDoorClear,"Clear Wooden Door [e38d23](UBBI)"
ZT_WoodDoubleDoorWhite,"White Double Doors [e38d23](UBBI)"
ZT_WoodDoorWhite,"White Wooden Door [e38d23](UBBI)"
ZT_ClosetDoor,"Closet Door (Swing Out) [e38d23](UBBI)"
ZT_ClosetDoorSwingOut,"Closet Door [e38d23](UBBI)"
ZT_ClosetSecretDoorSwingOut,"Secret Closet Door [e38d23](UBBI)"
ZT_ClosetBottom,"Closet (Bottom) [e38d23](UBBI)"
ZT_ClosetMiddle,"Closet (Middle) [e38d23](UBBI)"
ZT_ClosetTop,"Closet (Top) [e38d23](UBBI)"


ZT_MainDoubleDoor,"Heavy Double Doors [e38d23](UBBI)"
ZT_MainDoor,"Heavy Door [e38d23](UBBI)"


ZT_SlidingDoor,"Sliding Doors [e38d23](UBBI)"
ZT_SlidingDoorMirroredGlass,"Bulletproof Mirrored Door [e38d23](UBBI)"
ZT_GlassDoor,"Glass Door [e38d23](UBBI)"
ZT_BathroomDoubleDoors,"Shower Double Doors [e38d23](UBBI)"
ZT_BathroomSingleDoor,"Shower Single Door [e38d23](UBBI)"
ZT_BathroomTallGlassPanel,"Shower Glass [e38d23](UBBI)"
ZT_BathroomGlassPanel,"Shower Glass [e38d23](UBBI)"
ZT_SDWindowPanelx1,"Window Panel [e38d23](UBBI)"
ZT_SDWindowPanelx2,"Window Panel [e38d23](UBBI)"
ZT_SDWindowPanelx4,"Window Panel [e38d23](UBBI)"
ZT_GlassClosetDoor1,"Glass Window [e38d23](UBBI)"
ZT_GlassClosetDoor2,"Glass Window [e38d23](UBBI)"
ZT_GlassClosetDoor3,"Glass Window [e38d23](UBBI)"
ZT_WindowA1,"Window [e38d23](UBBI)"
ZT_WindowA2,"Window [e38d23](UBBI)"
ZT_WindowA3,"Window [e38d23](UBBI)"
ZT_WindowA4,"Window [e38d23](UBBI)"
ZT_WindowA5,"Window [e38d23](UBBI)"
ZT_WindowA6,"Window [e38d23](UBBI)"
ZT_WindowA7,"Window [e38d23](UBBI)"
ZT_WindowA8,"Window [e38d23](UBBI)"
ZT_WindowA9,"Window [e38d23](UBBI)"
ZT_WindowB1,"Window [e38d23](UBBI)"
ZT_WindowB2,"Window [e38d23](UBBI)"
ZT_WindowB3,"Window [e38d23](UBBI)"
ZT_WindowB4,"Window [e38d23](UBBI)"
ZT_WindowB5,"Window [e38d23](UBBI)"
ZT_WindowB6,"Window [e38d23](UBBI)"
ZT_WindowB7,"Window [e38d23](UBBI)"
ZT_WindowB8,"Window [e38d23](UBBI)"
ZT_WindowB9,"Window [e38d23](UBBI)"
ZT_WindowB10Inverted,"Window [e38d23](UBBI)"
ZT_WoodDoubleDoorBrownTopWindow,"Wide Window [e38d23](UBBI)"
ZT_WoodDoorBrownTopWindow,"Wide Window [e38d23](UBBI)"
ZT_WoodWindow1x1,"Wooden Window [e38d23](UBBI)"
ZT_WoodWindow2x1,"Wooden Window [e38d23](UBBI)"
ZT_WoodWindow2x2,"Wooden Window [e38d23](UBBI)"
ZT_WoodWindowSect1x1,"Wooden Window [e38d23](UBBI)"
ZT_WoodWindowSect2x1,"Wooden Window [e38d23](UBBI)"
ZT_WoodWindowSect2x2,"Wooden Window [e38d23](UBBI)"
ZT_WoodDoubleDoorGrayTopWindow,"Wide Window [e38d23](UBBI)"
ZT_WoodDoorGrayTopWindow,"Wide Window [e38d23](UBBI)"
ZT_WoodDoubleDoorClearTopWindow,"Wide Window [e38d23](UBBI)"
ZT_WoodDoorClearTopWindow,"Wide Window [e38d23](UBBI)"
ZT_WoodDoubleDoorWhiteTopWindow,"Wide Window [e38d23](UBBI)"
ZT_WoodDoorWhiteTopWindow,"Wide Window [e38d23](UBBI)"
ZT_WoodWindowWhite1x1,"White Wooden Window [e38d23](UBBI)"
ZT_WoodWindowWhite2x1,"White Wooden Window [e38d23](UBBI)"
ZT_WoodWindowWhite2x2,"White Wooden Window [e38d23](UBBI)"
ZT_WoodWindowSectWhite1x1,"White Wooden Window [e38d23](UBBI)"
ZT_WoodWindowSectWhite2x1,"White Wooden Window [e38d23](UBBI)"
ZT_WoodWindowSectWhite2x2,"White Wooden Window [e38d23](UBBI)"
